timestamp_iso,n_events,score,inf_ms,queue_depth
2026-03-30T18:18:14.651985,201,13.656658,10178.20,50
2026-03-30T18:18:32.796980,1131,12.951757,12743.37,50
2026-03-30T18:18:48.655524,5802,10.954312,8953.72,50
2026-03-30T18:19:00.131895,11,12.533629,6510.30,50
2026-03-30T18:19:12.224740,10,7.788782,6028.44,50
2026-03-30T18:19:25.981096,200,8.457631,9853.64,49
2026-03-30T18:19:38.651498,24,10.289273,6979.21,50
2026-03-30T18:19:51.571558,484,10.544966,7457.00,49
2026-03-30T18:20:01.563001,17,9.627606,6370.10,50
2026-03-30T18:20:06.876303,9,10.022973,2599.30,50
2026-03-30T18:20:20.805251,329,4.468156,8605.41,50
2026-03-30T18:20:35.805872,16,11.212892,8613.00,50
2026-03-30T18:20:50.879579,62,12.174653,8964.51,50
2026-03-30T18:21:01.944101,12,7.767708,7090.64,50
2026-03-30T18:21:12.831001,10,9.500589,6950.83,50
2026-03-30T18:21:32.755610,3225,8.298615,12727.37,49
2026-03-30T18:21:50.651405,10,9.230305,10273.37,50
2026-03-30T18:22:00.651545,576,9.638855,5610.57,50
2026-03-30T18:22:15.589157,61,9.637785,8323.04,50
2026-03-30T18:22:34.560836,674,11.154100,13935.78,50
2026-03-30T18:22:48.913528,13,9.124621,5630.83,50
2026-03-30T18:22:58.189951,76,12.370138,5727.64,50
2026-03-30T18:23:11.014524,444,13.012997,9249.36,50
2026-03-30T18:23:24.099913,937,12.322991,9421.05,49
2026-03-30T18:23:36.213045,13,8.007804,5930.53,50
2026-03-30T18:23:46.934682,20,11.818457,6751.35,49
2026-03-30T18:23:58.761584,12,8.808182,4465.55,50
2026-03-30T18:24:06.441181,78,10.942189,4989.18,50
2026-03-30T18:24:19.312755,202,9.802299,7623.54,50
2026-03-30T18:24:36.739784,727,11.252856,10699.33,50
2026-03-30T18:24:51.069571,1105,10.477422,11532.63,50
2026-03-30T18:25:00.398634,449,8.118406,4649.67,50
2026-03-30T18:25:13.651335,3310,9.173597,9325.78,50
2026-03-30T18:25:25.804939,286,9.932558,9256.46,50
2026-03-30T18:25:36.652963,38,10.074385,6541.29,50
2026-03-30T18:25:54.568031,156,10.963815,10483.08,50
2026-03-30T18:26:06.357661,67,10.109810,7883.54,50
2026-03-30T18:26:22.198661,11,7.574696,9564.05,50
2026-03-30T18:26:43.514581,21,10.388997,11981.71,50
2026-03-30T18:26:59.040207,13,8.569448,7432.89,49
2026-03-30T18:27:13.514485,21,12.155682,7320.64,50
2026-03-30T18:27:27.746679,208,10.118278,10351.93,50
2026-03-30T18:27:40.805396,158,10.870218,8781.18,50
2026-03-30T18:27:56.235136,105,10.255597,10195.01,49
2026-03-30T18:28:08.444013,25,10.641650,7301.98,50
2026-03-30T18:28:28.881014,1187,12.241569,12906.84,50
2026-03-30T18:28:45.165321,656,12.153218,11800.69,49
2026-03-30T18:29:00.612978,466,11.536709,12908.48,50
2026-03-30T18:29:08.153135,187,12.334494,4842.84,50
2026-03-30T18:29:21.862985,225,11.256378,5701.02,49
2026-03-30T18:29:33.798942,78,9.432333,9999.40,50
2026-03-30T18:29:44.811981,30,9.431953,6280.19,50
2026-03-30T18:29:52.894741,9,9.537164,4063.81,49
2026-03-30T18:30:02.174042,24,9.017765,7423.64,50
2026-03-30T18:30:13.052068,12,8.033671,4801.44,50
2026-03-30T18:30:26.014756,43,9.971296,8787.33,50
2026-03-30T18:30:38.161449,3523,8.848674,8612.67,50
2026-03-30T18:30:45.208936,1109,12.351401,4733.94,50
2026-03-30T18:30:51.082157,24,14.294523,3886.22,50
2026-03-30T18:30:54.063602,39,10.024814,2979.81,50
2026-03-30T18:30:58.042127,8,9.237933,1629.72,50
2026-03-30T18:31:06.080449,136,15.500695,7000.23,50
2026-03-30T18:31:07.946927,20,9.641035,600.92,50
2026-03-30T18:31:12.262237,29,10.520422,2853.33,50
2026-03-30T18:31:13.923764,12,8.273026,794.18,50
2026-03-30T18:31:22.602975,1452,14.684666,5867.36,50
2026-03-30T18:31:25.147553,14,8.017224,814.26,50
2026-03-30T18:31:31.291905,16,10.984203,4545.89,50
2026-03-30T18:31:39.430330,673,15.055843,6100.89,50
2026-03-30T18:31:42.722082,11,9.029589,755.00,50
2026-03-30T18:31:54.687749,2589,8.818513,6703.50,50
2026-03-30T18:32:01.853860,10,7.980825,3542.64,50
2026-03-30T18:32:12.821084,355,9.538263,8927.89,50
2026-03-30T18:32:24.688525,4031,9.285190,7860.19,50
2026-03-30T18:32:32.509770,26,9.145072,5971.84,50
2026-03-30T18:32:46.316993,94,9.204659,9561.87,50
2026-03-30T18:32:51.912541,13,9.524358,4711.71,50
2026-03-30T18:33:00.561576,334,13.215181,6961.86,50
2026-03-30T18:33:09.251174,842,11.628732,5936.84,50
