model,task,categories,seq_len,run_id,folder_name,test_set,score_method,f1,precision,recall,accuracy,aupr,auroc,best_threshold,val_f1_tune,n_test_normal_balanced,n_test_ood_balanced,n_test_normal_full,n_test_ood_full,n_val_normal_balanced,n_val_ood_balanced,n_val_normal_full,n_val_ood_full,mad_event,mad_event_median,mad_latency,mad_latency_median
transformer,event,9,512,382075,transformer_event_cats9_seq512_382075,mem,event_loss,0.6882047451919882,0.5246281709508932,1.0,0.5246281709508932,0.5897854667474093,0.5561711811160741,0.08203125,0.6666677919811217,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,event,9,512,382075,transformer_event_cats9_seq512_382075,net,event_loss,0.5491395741000478,0.37849832042769954,0.9999583354165625,0.37849235136413817,0.6167782781873469,0.6846976091704472,0.08203125,0.6666677919811217,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,duration,3,512,382077,transformer_duration_cats3_seq512_382077,cpu,latency_loss,0.6595939859755686,0.4920852182654758,1.0,0.4920865275064055,0.6393700590494317,0.645740196509264,0.000774383544921875,0.6666677919811217,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,duration,3,512,382077,transformer_duration_cats3_seq512_382077,disk,latency_loss,0.5568173383804647,0.38582596173626826,1.0,0.38582787608274866,0.5766425921502696,0.6102585169322201,0.000774383544921875,0.6666677919811217,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,duration,3,512,382077,transformer_duration_cats3_seq512_382077,mem,latency_loss,0.6882037584419366,0.5246282897831861,0.9999954014742873,0.5246281709508932,0.7261282409348095,0.7045794368787193,0.000774383544921875,0.6666677919811217,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,duration,3,512,382077,transformer_duration_cats3_seq512_382077,net,latency_loss,0.5491574286989052,0.3785093155947503,1.0,0.3785112758240025,0.5233970055729724,0.650021344583996,0.000774383544921875,0.6666677919811217,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,duration,5,512,382079,transformer_duration_cats5_seq512_382079,cpu,latency_loss,0.6685751362910302,0.5680506968992106,0.8123277912227216,0.6036896887711176,0.6675685919647547,0.6823713928644445,0.6175523237748579,0.6740969630603927,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,duration,5,512,382079,transformer_duration_cats5_seq512_382079,disk,latency_loss,0.5424256221148135,0.4327169165047049,0.726658749585969,0.5269880652189498,0.580624884389611,0.6268152738800163,0.6175523237748579,0.6740969630603927,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,duration,5,512,382079,transformer_duration_cats5_seq512_382079,mem,latency_loss,0.7193675134695499,0.6150342949858478,0.8663300545845002,0.6453890785394627,0.7640146166062468,0.7487785750681576,0.6175523237748579,0.6740969630603927,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,duration,5,512,382079,transformer_duration_cats5_seq512_382079,net,latency_loss,0.581502524876141,0.45269567800386157,0.8127593620318984,0.5571991799400725,0.5770386970145811,0.6947211405915023,0.6175523237748579,0.6740969630603927,197044,120006,197044,120006,197476,197476,197476,646822,,,,
